,player,total_runs,total_wickets,batting_0,batting_1,batting_2,batting_4,batting_6,batting_3,batting_5,balls_faced,bowling_0,bowling_1,bowling_2,bowling_3,bowling_4,bowling_6,bowling_5,bowling_7,balls_bowled,bat_sr,bowl_sr
67,CA Lynn,2745,3,730,620,114,211,170,11,0,1856,14,25,6,1,0,2,0,0,48,147.9,16
135,GJ Maxwell,2084,33,488,552,151,162,93,8,0,1454,228,407,66,9,63,34,0,0,807,143.33,24.45
45,BCJ Cutting,1479,70,415,347,96,100,88,4,0,1050,372,727,188,13,157,58,0,2,1517,140.86,21.67
20,AJ Finch,2430,7,727,672,143,224,86,20,0,1872,31,70,21,0,8,8,0,1,139,129.81,19.86
121,DT Christian,1689,87,465,474,121,109,86,7,0,1262,465,703,168,10,164,72,1,0,1583,133.84,18.2
111,DJM Short,2109,31,602,575,102,208,79,8,0,1574,182,322,61,7,56,43,0,0,671,133.99,21.65
59,BR McDermott,1562,0,403,511,101,93,73,13,0,1194,0,0,0,0,0,0,0,0,0,130.82,NA
336,SE Marsh,2188,0,652,666,140,189,72,18,0,1737,0,0,0,0,0,0,0,0,0,125.96,NA
285,NJ Maddinson,1725,9,635,440,93,157,72,13,0,1410,23,72,11,0,8,3,0,0,117,122.34,13
265,MP Stoinis,2105,37,628,577,160,188,70,12,0,1635,156,235,69,2,60,25,0,0,547,128.75,14.78
158,J Weatherald,1668,0,558,432,65,164,69,10,0,1299,0,0,0,0,0,0,0,0,0,128.41,NA
267,MR Marsh,1480,25,390,455,124,96,64,3,0,1132,163,245,40,5,72,30,1,1,557,130.74,22.28
269,MS Wade,1799,0,405,540,124,150,61,15,0,1295,0,0,0,0,0,0,0,0,0,138.92,NA
12,AD Hales,1354,0,343,321,53,138,61,3,0,919,0,0,0,0,0,0,0,0,0,147.33,NA
243,MC Henriques,1898,20,477,626,152,137,60,20,0,1472,148,241,49,6,61,11,2,1,519,128.94,25.95
377,TM Head,1349,19,374,390,94,96,60,9,0,1023,101,144,44,4,32,13,1,0,339,131.87,17.84
22,AJ Turner,1245,11,314,356,110,78,56,7,0,921,64,94,16,1,24,6,0,0,205,135.18,18.64
85,CL White,1568,1,541,577,95,111,55,9,0,1388,3,13,2,0,0,1,0,0,19,112.97,19
229,LS Livingstone,851,9,263,223,42,52,55,2,0,637,29,56,10,1,7,7,0,0,110,133.59,12.22
58,BR Dunk,1692,2,518,505,132,141,54,10,1,1361,18,25,5,2,9,2,0,0,61,124.32,30.5
357,SR Watson,1014,17,324,267,35,86,53,5,0,770,126,165,35,0,39,20,0,0,385,131.69,22.65
52,BJ Hodge,1330,0,359,412,73,109,52,8,0,1013,1,4,0,0,1,0,0,0,6,131.29,NA
73,CH Gayle,616,7,221,141,21,34,49,1,0,467,51,58,23,2,15,2,0,0,151,131.91,21.57
134,GJ Bailey,1574,0,368,513,123,128,47,7,0,1186,0,0,0,0,0,0,0,0,0,132.72,NA
17,AI Ross,1263,0,349,440,92,90,44,5,0,1020,0,0,0,0,0,0,0,0,0,123.82,NA
30,AT Carey,1588,0,473,513,76,155,43,15,0,1275,0,0,0,0,0,0,0,0,0,124.55,NA
159,JA Burns,1151,3,370,361,96,82,43,4,0,956,20,20,3,1,6,1,0,0,51,120.4,17
77,CJ Ferguson,1882,0,495,728,122,157,41,12,0,1555,0,0,0,0,0,0,0,0,0,121.03,NA
224,LJ Wright,1389,6,469,343,81,152,41,10,0,1096,36,75,34,1,21,3,0,0,170,126.73,28.33
374,TLW Cooper,1311,10,439,382,105,110,41,11,0,1088,100,100,15,5,27,11,0,0,258,120.5,25.8
66,CA Ingram,868,1,251,266,41,67,40,4,0,669,19,36,7,0,6,5,0,0,73,129.75,73
114,DP Hughes,1756,0,564,577,120,168,38,13,0,1480,0,0,0,0,0,0,0,0,0,118.65,NA
44,BB McCullum,920,0,277,243,40,87,38,7,0,692,0,0,0,0,0,0,0,0,0,132.95,NA
198,JR Philippe,1306,0,311,364,86,131,37,8,0,937,0,0,0,0,0,0,0,0,0,139.38,NA
101,DJ Bravo,677,57,194,204,52,36,36,3,0,525,248,472,146,8,89,30,0,0,993,128.95,17.42
234,M Klinger,1737,0,599,576,123,168,33,15,0,1514,0,0,0,0,0,0,0,0,0,114.73,NA
254,MJ Lumb,931,0,357,229,66,87,33,8,0,780,0,0,0,0,0,0,0,0,0,119.36,NA
147,HWR Cartwright,924,4,323,304,63,71,33,4,0,798,17,31,8,0,10,11,2,0,79,115.79,19.75
187,JM Vince,1278,0,335,374,95,123,32,10,0,969,0,0,0,0,0,0,0,0,0,131.89,NA
211,KP Pietersen,1026,0,270,317,61,92,32,9,0,781,1,6,3,0,2,0,0,0,12,131.37,NA
286,NJ Reardon,717,0,228,224,56,45,32,3,0,588,2,5,3,0,0,3,0,0,13,121.94,NA
174,JJ Peirson,1160,0,356,374,92,99,31,5,1,958,0,0,0,0,0,0,0,0,0,121.09,NA
316,RJ Quiney,748,0,244,189,40,68,31,7,0,579,0,0,0,0,0,0,0,0,0,129.19,NA
206,JW Wells,1989,0,552,756,162,165,30,23,0,1688,1,5,0,0,0,0,0,0,6,117.83,NA
329,SB Harper,981,0,282,272,68,93,30,7,0,752,0,0,0,0,0,0,0,0,0,130.45,NA
82,CJ Simmons,501,3,173,87,28,43,30,2,0,363,33,37,5,0,9,1,0,0,85,138.02,28.33
165,JC Silk,1512,0,359,584,168,100,29,6,0,1246,0,0,0,0,0,0,0,0,0,121.35,NA
379,TP Ludeman,924,0,329,264,63,87,29,4,0,776,0,0,0,0,0,0,0,0,0,119.07,NA
380,TR Birt,572,0,162,130,39,46,29,2,0,408,0,0,0,0,0,0,0,0,0,140.2,NA
191,JP Inglis,941,0,221,268,57,94,28,5,0,673,0,0,0,0,0,0,0,0,0,139.82,NA
94,CT Bancroft,1074,0,302,392,95,70,28,13,1,901,0,0,0,0,0,0,0,0,0,119.2,NA
54,BJ Rohrer,912,0,243,264,92,68,28,8,0,703,0,0,0,0,0,0,0,0,0,129.73,NA
268,MS Harris,970,0,355,267,44,105,27,11,0,809,0,0,0,0,0,0,0,0,0,119.9,NA
231,M Bryant,782,0,259,155,38,95,27,3,0,577,0,0,0,0,0,0,0,0,0,135.53,NA
164,JC Buttler,605,0,174,144,40,54,26,3,0,441,0,0,0,0,0,0,0,0,0,137.19,NA
263,Mohammad Nabi,625,28,194,174,55,44,26,3,0,496,178,255,45,4,39,29,0,0,550,126.01,19.64
120,DR Sams,431,67,121,108,33,23,26,3,0,314,327,359,70,6,118,41,0,1,922,137.26,13.76
386,UT Khawaja,1601,0,524,437,105,192,25,12,0,1295,0,0,0,0,0,0,0,0,0,123.63,NA
308,PSP Handscomb,1022,0,295,370,76,83,25,6,0,855,0,0,0,0,0,0,0,0,0,119.53,NA
55,BJ Webster,759,1,198,262,70,51,24,3,0,608,45,105,15,2,13,6,0,0,186,124.84,186
194,JR Dean,317,0,115,69,11,19,24,2,0,240,0,0,0,0,0,0,0,0,0,132.08,NA
270,MT Renshaw,756,6,231,259,52,60,23,5,0,630,52,84,15,2,12,11,0,0,176,120,29.33
366,TD Paine,949,0,310,295,56,95,22,10,0,788,0,0,0,0,0,0,0,0,0,120.43,NA
51,BJ Haddin,550,0,172,139,33,48,22,7,0,421,0,0,0,0,0,0,0,0,0,130.64,NA
302,PD Salt,671,0,171,167,35,74,21,4,0,472,0,0,0,0,0,0,0,0,0,142.16,NA
290,NM Coulter-Nile,320,67,105,63,22,21,21,1,0,233,425,442,93,8,133,46,2,0,1149,137.34,17.15
14,AD Russell,270,19,62,49,14,16,21,1,0,163,133,142,35,2,45,16,1,1,375,165.64,19.74
