id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2,lat,long
524917,Adelaide,18/12/2011,M Klinger,Adelaide Oval,0,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,field,Adelaide Strikers,runs,67,N,NA,AJ Barrow,BNJ Oxenford,-34.91526994,138.5960395
524924,Adelaide,28/12/2011,XJ Doherty,Adelaide Oval,0,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Hobart Hurricanes,runs,14,N,NA,GC Joshua,JD Ward,-34.91526994,138.5960395
524936,Adelaide,10/01/2012,SNJ O'Keefe,Adelaide Oval,0,Adelaide Strikers,Sydney Sixers,Sydney Sixers,bat,Sydney Sixers,runs,64,N,NA,AJ Barrow,MD Martell,-34.91526994,138.5960395
571237,Adelaide,13/12/2012,LA Pomersbach,Adelaide Oval,0,Adelaide Strikers,Brisbane Heat,Brisbane Heat,field,Brisbane Heat,wickets,3,N,NA,DB Mealey,P Wilson,-34.91526994,138.5960395
571247,Adelaide,23/12/2012,TP Ludeman,Adelaide Oval,0,Adelaide Strikers,Sydney Sixers,Sydney Sixers,bat,Adelaide Strikers,wickets,9,N,NA,SD Fry,SJ Nogajski,-34.91526994,138.5960395
571249,Adelaide,27/12/2012,BJ Hodge,Adelaide Oval,0,Adelaide Strikers,Melbourne Stars,Melbourne Stars,bat,Melbourne Stars,runs,8,N,NA,GC Joshua,IH Lock,-34.91526994,138.5960395
571262,Adelaide,10/01/2013,SE Marsh,Adelaide Oval,0,Adelaide Strikers,Perth Scorchers,Perth Scorchers,bat,Perth Scorchers,runs,98,N,NA,MD Martell,P Wilson,-34.91526994,138.5960395
654061,Adelaide,5/01/2014,MJ Lumb,Adelaide Oval,0,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,bat,Sydney Sixers,wickets,6,N,NA,SD Fry,SJ Nogajski,-34.91526994,138.5960395
654081,Adelaide,18/01/2014,DL Vettori,Adelaide Oval,0,Adelaide Strikers,Brisbane Heat,Brisbane Heat,bat,Brisbane Heat,runs,32,N,NA,SJ Nogajski,P Wilson,-34.91526994,138.5960395
654087,Adelaide,22/01/2014,DJ Bravo,Adelaide Oval,0,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,bat,Melbourne Renegades,runs,1,N,NA,DB Mealey,AP Ward,-34.91526994,138.5960395
756735,Adelaide,18/12/2014,TP Ludeman,Adelaide Oval,0,Adelaide Strikers,Melbourne Stars,Melbourne Stars,bat,Adelaide Strikers,wickets,8,N,NA,MW Graham-Smith,JD Ward,-34.91526994,138.5960395
756757,Adelaide,31/12/2014,TP Ludeman,Adelaide Oval,0,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,bat,Adelaide Strikers,wickets,8,N,NA,GJ Davidson,MD Martell,-34.91526994,138.5960395
756769,Adelaide,6/01/2015,GB Hogg,Adelaide Oval,0,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,field,Perth Scorchers,runs,18,N,NA,GC Joshua,DB Mealey,-34.91526994,138.5960395
756783,Adelaide,12/01/2015,NA,Adelaide Oval,0,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,NA,NA,NA,NA,NA,SD Fry,BNJ Oxenford,-34.91526994,138.5960395
756799,Adelaide,24/01/2015,NJ Maddinson,Adelaide Oval,0,Adelaide Strikers,Sydney Sixers,Sydney Sixers,bat,Sydney Sixers,runs,87,N,NA,GA Abood,MD Martell,-34.91526994,138.5960395
897697,Adelaide,18/12/2015,AI Ross,Adelaide Oval,0,Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Adelaide Strikers,runs,19,N,NA,GA Abood,MW Graham-Smith,-34.91526994,138.5960395
897721,Adelaide,31/12/2015,TM Head,Adelaide Oval,0,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,field,Adelaide Strikers,wickets,5,N,NA,SD Fry,P Wilson,-34.91526994,138.5960395
897733,Adelaide,5/01/2016,TM Head,Adelaide Oval,0,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,bat,Adelaide Strikers,runs,36,N,NA,SAJ Craig,GJ Davidson,-34.91526994,138.5960395
